Rank|Title|Year|Lifetime Gross|Studio
1|Avatar|2009|760507625|Fox
2|Titanic|1997|658672302|Par.
3|Marvel's The Avengers|2012|623357910|BV
4|The Dark Knight|2008|534858444|WB
5|Star Wars: Episode I - The Phantom Menace|1999|474544677|Fox
6|Star Wars|1977|460998007|Fox
7|The Dark Knight Rises|2012|448139099|WB
8|Shrek 2|2004|441226247|DW
9|E.T.: The Extra-Terrestrial|1982|435110554|Uni.
10|The Hunger Games: Catching Fire|2013|424668047|LGF
11|Pirates of the Caribbean: Dead Man's Chest|2006|423315812|BV
12|The Lion King|1994|422783777|BV
13|Toy Story 3|2010|415004880|BV
14|Iron Man 3|2013|409013994|BV
15|The Hunger Games|2012|408010692|LGF
16|Spider-Man|2002|403706375|Sony
17|Jurassic Park|1993|402453882|Uni.
18|Transformers: Revenge of the Fallen|2009|402111870|P/DW
19|Frozen|2013|400738009|BV
20|Harry Potter and the Deathly Hallows Part 2|2011|381011219|WB
21|Finding Nemo|2003|380843261|BV
22|Star Wars: Episode III - Revenge of the Sith|2005|380270577|Fox
23|The Lord of the Rings: The Return of the King|2003|377845905|NL
24|Spider-Man 2|2004|373585825|Sony
25|The Passion of the Christ|2004|370782930|NM
26|Despicable Me 2|2013|368061265|Uni.
27|Transformers: Dark of the Moon|2011|352390543|P/DW
28|American Sniper|2014|343969003|WB
29|The Lord of the Rings: The Two Towers|2002|342551365|NL
30|The Hunger Games: Mockingjay - Part 1|2014|337135885|LGF
31|Spider-Man 3|2007|336530303|Sony
32|Alice in Wonderland (2010)|2010|334191110|BV
33|Guardians of the Galaxy|2014|333176600|BV
34|Forrest Gump|1994|330252182|Par.
35|Shrek the Third|2007|322719944|P/DW
36|Transformers|2007|319246193|P/DW
37|Iron Man|2008|318412101|Par.
38|Harry Potter and the Sorcerer's Stone|2001|317575550|WB
39|Indiana Jones and the Kingdom of the Crystal Skull|2008|317101119|Par.
40|The Lord of the Rings: The Fellowship of the Ring|2001|315544750|NL
41|Iron Man 2|2010|312433331|Par.
42|Star Wars: Episode II - Attack of the Clones|2002|310676740|Fox
43|Pirates of the Caribbean: At World's End|2007|309420425|BV
44|Return of the Jedi|1983|309306177|Fox
45|Independence Day|1996|306169268|Fox
46|Pirates of the Caribbean: The Curse of the Black Pearl|2003|305413918|BV
47|Skyfall|2012|304360277|Sony
48|The Hobbit: An Unexpected Journey|2012|303003568|WB
49|Harry Potter and the Half-Blood Prince|2009|301959197|WB
50|The Twilight Saga: Eclipse|2010|300531751|Sum.
51|The Twilight Saga: New Moon|2009|296623634|Sum.
52|Harry Potter and the Deathly Hallows Part 1|2010|295983305|WB
53|The Sixth Sense|1999|293506292|BV
54|Up|2009|293004164|BV
55|Inception|2010|292576195|WB
56|The Twilight Saga: Breaking Dawn Part 2|2012|292324737|LG/S
57|Harry Potter and the Order of the Phoenix|2007|292004738|WB
58|The Chronicles of Narnia: The Lion, the Witch and the Wardrobe|2005|291710957|BV
59|Man of Steel|2013|291045518|WB
60|The Empire Strikes Back|1980|290475067|Fox
61|Harry Potter and the Goblet of Fire|2005|290013036|WB
62|Monsters, Inc.|2001|289916256|BV
63|Home Alone|1990|285761243|Fox
64|The Matrix Reloaded|2003|281576461|WB
65|The Twilight Saga: Breaking Dawn Part 1|2011|281287133|Sum.
66|Meet the Fockers|2004|279261160|Uni.
67|The Hangover|2009|277322503|WB
68|Gravity|2013|274092705|WB
69|Monsters University|2013|268492764|BV
70|Shrek|2001|267665011|DW
71|The Amazing Spider-Man|2012|262030663|Sony
72|Harry Potter and the Chamber of Secrets|2002|261988482|WB
73|The Incredibles|2004|261441092|BV
74|How the Grinch Stole Christmas|2000|260044825|Uni.
75|Jaws|1975|260000000|Uni.
76|Captain America: The Winter Soldier|2014|259766572|BV
77|The Hobbit: The Desolation of Smaug|2013|258366855|WB
78|The LEGO Movie|2014|257760692|WB
79|Star Trek|2009|257730019|Par.
80|I Am Legend|2007|256393010|WB
81|The Blind Side|2009|255959475|WB
82|The Hobbit: The Battle of the Five Armies|2014|255043150|WB
83|The Hangover Part II|2011|254464305|WB
84|Despicable Me|2010|251513985|Uni.
85|Batman|1989|251188924|WB
86|Night at the Museum|2006|250863268|Fox
87|Men in Black|1997|250690539|Sony
